x,y,z,t,u
0.769455131,0.949436302,0.164982794,0.01310069,0.654149515
0.467315789,0.050547083,0.740645474,0.934974635,0.023092462
0.485218066,0.590428791,0.47844301,0.691317453,0.06723342
0.901795979,0.07518118,0.205305849,0.41838722,0.104274931
0.154644642,0.770266441,0.626945047,0.667727173,0.072875951
0.266690666,0.429573531,0.81787179,0.734724019,0.052846066
0.407483812,0.186017231,0.351496372,0.179284515,0.307278222
0.634176355,0.476371618,0.848533417,0.063867955,0.651812331
0.974013687,0.231193801,0.321778716,0.347012713,0.162643741
0.854585406,0.831755045,0.85620906,0.666991062,0.102669325
0.170760802,0.656812419,0.034650167,0.812298723,0.034460491
0.752523724,0.471600811,0.480997136,0.592344676,0.090352016
0.701956858,0.840427447,0.265242951,0.973094506,0.035853916
0.752160163,0.648636987,0.65994761,0.361715393,0.223403119
0.298913677,0.205517382,0.820916292,0.809075797,0.035929595
0.946361553,0.52370979,0.737231452,0.967162187,0.037285298
0.228552955,0.274356702,0.696403536,0.006512432,0.815027259
0.797071411,0.27879025,0.241349765,0.036553704,0.660002956
0.959462622,0.850914095,0.520402892,0.752102311,0.076585795
0.119078151,0.858531144,0.967663953,0.245371829,0.284368236
0.326990219,0.325001079,0.786606549,0.672764019,0.059638733
0.530205346,0.065044729,0.947720492,0.808636263,0.035672908
0.163984368,0.809437281,0.686553896,0.694118379,0.070610716
0.557061753,0.551297361,0.304106592,0.330142206,0.20723239
0.96954912,0.335641474,0.631842639,0.615450612,0.082188164
0.406246246,0.431257593,0.059655306,0.940458636,0.023185654
0.384735197,0.179456256,0.619809293,0.413396834,0.122732247
0.840291048,0.094889986,0.627689393,0.834788451,0.03455947
0.998265902,0.310578907,0.641324889,0.430678588,0.143646512
0.769665784,0.739169109,0.225150246,0.609513973,0.091382681
0.221799395,0.778912535,0.056965581,0.157136499,0.343058612
0.581697954,0.034489141,0.501731453,0.246608152,0.215217525
0.411709213,0.11910504,0.780291175,0.163683609,0.331144999
0.717649957,0.715685513,0.456729972,0.258508446,0.314973749
0.703415089,0.552644558,0.939988542,0.622486899,0.096130291
0.166504364,0.067189892,0.142115642,0.284271808,0.138083828
0.461447228,0.125865042,0.182971917,0.506247164,0.072936972
0.951003868,0.43452411,0.744692255,0.756606444,0.061018815
0.244728373,0.542654671,0.813991887,0.693785964,0.064018008
0.508492119,0.460412376,0.439118457,0.900519621,0.033384074
0.514668142,0.78474881,0.576843659,0.144233704,0.49819754
0.968308218,0.640948365,0.895932068,0.541984174,0.132817076
0.667132104,0.972278041,0.236278427,0.972202003,0.038054446
0.46893261,0.459806065,0.321716937,0.556577161,0.086836868
0.665020145,0.570589498,0.672854421,0.913801041,0.040417176
0.563481584,0.318349378,0.908310086,0.576436183,0.088887539
0.789884097,0.738149914,0.534793079,0.665713664,0.088839893
0.590610395,0.507259319,0.052851566,0.999172211,0.022586005
0.212208887,0.77609794,0.86869913,0.279350335,0.267488067
0.774450353,0.201003016,0.099895044,0.956291609,0.021235623
0.844888843,0.979699641,0.5307234,0.710088993,0.090394265
0.398463067,0.297201559,0.217255863,0.589365147,0.063675432
0.350873644,0.516007741,0.490975468,0.424426891,0.144091184
0.944833956,0.79019447,0.907228645,0.594833708,0.124555623
0.423314956,0.426291301,0.090339441,0.585932446,0.067046736
0.479453505,0.368260314,0.045485041,0.638699603,0.053960973
0.309925824,0.778423865,0.538858883,0.257525805,0.297615847
0.11857859,0.361415551,0.490780016,0.34628941,0.154347439
0.664773879,0.261874807,0.466845565,0.76473749,0.044304313
0.679899532,0.316749939,0.052796941,0.716811331,0.043729968
0.175882169,0.177396383,0.191560928,0.879317854,0.021202002
0.282283919,0.147189621,0.434355477,0.365757338,0.129609042
0.415298665,0.508744353,0.932830911,0.338307636,0.211597861
0.794495723,0.00206536,0.708506887,0.450330753,0.103007961
0.00097697,0.774216504,0.944337627,0.587721189,0.089384657
0.935014325,0.159711131,0.879277072,0.656107593,0.065900399
0.834046419,0.092516366,0.988070711,0.308291962,0.184609959
0.381260866,0.162959121,0.724251818,0.384216426,0.136979877
0.769528503,0.700158858,0.339033966,0.116035346,0.526714596
0.99940996,0.364658188,0.548465572,0.446119137,0.139022983
0.161130765,0.588064262,0.818801788,0.361888694,0.181020935
0.932860995,0.394802291,0.678356576,0.033797673,0.687153605
0.365221098,0.429646144,0.447262787,0.672294417,0.059615337
0.744855293,0.202961604,0.00102864,0.892265628,0.023691596
0.804204135,0.015423482,0.86347973,0.930153382,0.026155033
0.969352127,0.843758716,0.546120401,0.65246746,0.101006538
0.607671531,0.18409911,0.198106363,0.500540893,0.082692885
0.168290111,0.391137623,0.933100741,0.291877344,0.207983516
0.282281984,0.309207446,0.177481243,0.902177402,0.023442341
0.994025635,0.953101256,0.54565136,0.156768642,0.440589697
